critic,crit_org,crit_cn,movie,m_year,director,dir_dob,dir_pob,cob
David Ehrlich,IndieWire,US,Yi Yi: A One and a Two,2000,Edward Yang,1947-11-06,"Shanghai, Republic of China",Republic of China
David Ehrlich,IndieWire,US,Dancer in the Dark,2000,Lars von Trier,1956-04-30,"Kongens Lyngby, Denmark",Denmark
David Ehrlich,IndieWire,US,Certified Copy,2010,Abbas Kiarostami,1940-06-22,"Tehran, Imperial State of Iran",Imperial State of Iran
David Ehrlich,IndieWire,US,The Wind Rises,2013,Hayao Miyazaki,1941-01-05,"Tokyo City, Empire of Japan",Empire of Japan
David Ehrlich,IndieWire,US,World of Tomorrow,2015,Don Hertzfeldt,1976-08-01,"Fremont, California, U.S.",U.S.
David Ehrlich,IndieWire,US,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S.",U.S.
David Ehrlich,IndieWire,US,35 Shots of Rum,2008,Claire Denis,1946-04-21,"Paris, France",France
David Ehrlich,IndieWire,US,Girl Walk: All Day,2011,Jacob Krupnick,,,
Kate Erbland,IndieWire,US,Inside Llewyn Davis,2013,Joel and Ethan Coen,1954-11-29,,
Kate Erbland,IndieWire,US,Almost Famous,2000,Cameron Crowe,1957-07-13,"Palm Springs, California, U.S.",U.S.
Kate Erbland,IndieWire,US,Collateral,2004,Michael Mann,1943-02-05,"Chicago, Illinois, U.S.",U.S.
Kate Erbland,IndieWire,US,Brooklyn,2015,John Crowley,,,
Kate Erbland,IndieWire,US,Nightcrawler,2014,Dan Gilroy,1959-06-24,"Santa Monica, California, U.S.",U.S.
Kate Erbland,IndieWire,US,Take Shelter,2011,Jeff Nichols,1978-12-07,"Little Rock, Arkansas, U.S.",U.S.
Kate Erbland,IndieWire,US,Fantastic Mr Fox,2009,Wes Anderson,1969-05-01,"Houston, Texas, U.S.",U.S.
Kate Erbland,IndieWire,US,Senna,2010,Asif Kapadia,,"London Borough of Hackney, England",England
Kate Erbland,IndieWire,US,Frances Ha,2012,Noah Baumbach,1969-09-03,"New York City, U.S.",U.S.
Kate Erbland,IndieWire,US,Dogtooth,2009,Yorgos Lanthimos,1973-09-23,"Athens, Greece",Greece
Mario Espinosa,Cinemateca de Cuba,Cuba,A Pigeon Sat on a Branch Reflecting on Existence,2014,Roy Andersson,1943-03-31,"Gothenburg, Sweden",Sweden
Mario Espinosa,Cinemateca de Cuba,Cuba,The Act of Killing,2012,Joshua Oppenheimer,1974-09-23,"Austin, Texas, U.S.",U.S.
Mario Espinosa,Cinemateca de Cuba,Cuba,Dogtooth,2009,Yorgos Lanthimos,1973-09-23,"Athens, Greece",Greece
Mario Espinosa,Cinemateca de Cuba,Cuba,Katyn,2007,Andrzej Wajda,1926-03-06,"Suwałki, Second Polish Republic",Second Polish Republic
Mario Espinosa,Cinemateca de Cuba,Cuba,3-Iron,2004,Kim Ki-duk,1960-12-20,"Ponghwa, South Korea",South Korea
Mario Espinosa,Cinemateca de Cuba,Cuba,Caché,2005,Michael Haneke,1942-03-23,"Munich, Germany",Germany
Mario Espinosa,Cinemateca de Cuba,Cuba,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S.",U.S.
Mario Espinosa,Cinemateca de Cuba,Cuba,The Congress,2013,Ari Folman,1962-12-17,"Haifa, Israel",Israel
Mario Espinosa,Cinemateca de Cuba,Cuba,Sympathy for Mr Vengeance,2002,Park Chan-wook,1963-08-23,"Seoul, South Korea",South Korea
Mario Espinosa,Cinemateca de Cuba,Cuba,"Synecdoche, New York",2008,Charlie Kaufman,1958-11-19,"New York City, U.S.",U.S.
Joseph Fahim,Freelance film critic,Egypt,Yi Yi: A One and a Two,2000,Edward Yang,1947-11-06,"Shanghai, Republic of China",Republic of China
Joseph Fahim,Freelance film critic,Egypt,There Will Be Blood,2007,Paul Thomas Anderson,1970-06-26,"Los Angeles, California, U.S.",U.S.
Joseph Fahim,Freelance film critic,Egypt,Boyhood,2014,Richard Linklater,1960-07-30,"Houston, Texas, U.S.",U.S.
Joseph Fahim,Freelance film critic,Egypt,Still Life,2006,Jia Zhangke,1970-05-24,"Fenyang, Shanxi, China",China
Joseph Fahim,Freelance film critic,Egypt,Archipelago,2010,Joanna Hogg,1960-03-20,"London, England",England
Joseph Fahim,Freelance film critic,Egypt,The Headless Woman,2008,Lucrecia Martel,1966-12-14,"Salta, Argentina",Argentina
Joseph Fahim,Freelance film critic,Egypt,The Act of Killing,2012,Joshua Oppenheimer,1974-09-23,"Austin, Texas, U.S.",U.S.
Joseph Fahim,Freelance film critic,Egypt,Caché,2005,Michael Haneke,1942-03-23,"Munich, Germany",Germany
Joseph Fahim,Freelance film critic,Egypt,Divine Intervention,2002,Elia Suleiman,1960-07-28,"Nazareth, Palestine",Palestine
Joseph Fahim,Freelance film critic,Egypt,Crimson Gold,2003,Jafar Panahi,1960-07-11,"Mianeh, East Azerbaijan, Imperial State of Iran",Imperial State of Iran
Devin Faraci,Birth.Movies.Death.,US,Zodiac,2007,David Fincher,1962-08-28,"Denver, Colorado, U.S.",U.S.
Devin Faraci,Birth.Movies.Death.,US,Inside Llewyn Davis,2013,Joel and Ethan Coen,1954-11-29,,
Devin Faraci,Birth.Movies.Death.,US,There Will Be Blood,2007,Paul Thomas Anderson,1970-06-26,"Los Angeles, California, U.S.",U.S.
Devin Faraci,Birth.Movies.Death.,US,Spider-Man 2,2004,Sam Raimi,1959-10-23,"Royal Oak, Michigan, U.S.",U.S.
Devin Faraci,Birth.Movies.Death.,US,Oldboy,2003,Park Chan-wook,1963-08-23,"Seoul, South Korea",South Korea
Devin Faraci,Birth.Movies.Death.,US,Inglourious Basterds,2009,Quentin Tarantino,1963-03-27,,
Devin Faraci,Birth.Movies.Death.,US,Frozen,2013,Chris Buck and Jennifer Lee,,,
Devin Faraci,Birth.Movies.Death.,US,25th Hour,2002,Spike Lee,1957-03-20,"Atlanta, Georgia, U.S.",U.S.
Devin Faraci,Birth.Movies.Death.,US,Requiem for a Dream,2000,Darren Aronofsky,1969-02-12,"New York City, U.S.",U.S.
Devin Faraci,Birth.Movies.Death.,US,Shaun of the Dead,2004,Edgar Wright,1974-04-18,"Poole, Dorset, England",England
David Fear,Rolling Stone,US,There Will Be Blood,2007,Paul Thomas Anderson,1970-06-26,"Los Angeles, California, U.S.",U.S.
David Fear,Rolling Stone,US,"4 Months, 3 Weeks & 2 Days",2007,Cristian Mungiu,1968-04-27,"Iași, Romania",Romania
David Fear,Rolling Stone,US,Yi Yi: A One and a Two,2000,Edward Yang,1947-11-06,"Shanghai, Republic of China",Republic of China
David Fear,Rolling Stone,US,Shame,2011,Steve McQueen,1930-03-24,"Beech Grove, Indiana, U.S.",U.S.
David Fear,Rolling Stone,US,Boyhood,2014,Richard Linklater,1960-07-30,"Houston, Texas, U.S.",U.S.
David Fear,Rolling Stone,US,The Social Network,2010,David Fincher,1962-08-28,"Denver, Colorado, U.S.",U.S.
David Fear,Rolling Stone,US,Manchester by the Sea,2016,Kenneth Lonergan,1962-10-16,"The Bronx, New York, U.S.",U.S.
David Fear,Rolling Stone,US,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S.",U.S.
David Fear,Rolling Stone,US,Head-On,2004,Fatih Akin,1973-08-25,"Hamburg, West Germany",West Germany
David Fear,Rolling Stone,US,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China",China
Scott Feinberg,The Hollywood Reporter,US,Sideways,2004,Alexander Payne,1961-02-10,"Omaha, Nebraska, U.S.",U.S.
Scott Feinberg,The Hollywood Reporter,US,The Social Network,2010,David Fincher,1962-08-28,"Denver, Colorado, U.S.",U.S.
Scott Feinberg,The Hollywood Reporter,US,"Synecdoche, New York",2008,Charlie Kaufman,1958-11-19,"New York City, U.S.",U.S.
Scott Feinberg,The Hollywood Reporter,US,The Diving Bell and the Butterfly,2007,Julian Schnabel,1951-10-26,"New York City, U.S.",U.S.
Scott Feinberg,The Hollywood Reporter,US,Dogville,2003,Lars von Trier,1956-04-30,"Kongens Lyngby, Denmark",Denmark
Scott Feinberg,The Hollywood Reporter,US,Short Term 12,2013,Destin Daniel Cretton,,,
Scott Feinberg,The Hollywood Reporter,US,WALL-E,2008,Andrew Stanton,1965-12-03,"Rockport, Massachusetts, U.S.",U.S.
Scott Feinberg,The Hollywood Reporter,US,Blue Valentine,2010,Derek Cianfrance,1974-01-23,"Lakewood, Colorado, U.S.",U.S.
Scott Feinberg,The Hollywood Reporter,US,The Squid and the Whale,2005,Noah Baumbach,1969-09-03,"New York City, U.S.",U.S.
Scott Feinberg,The Hollywood Reporter,US,A Serious Man,2009,Joel and Ethan Coen,1954-11-29,,
Javier Porta Fouz,La Nacion,Argentina,Jersey Boys,2014,Clint Eastwood,,,
Javier Porta Fouz,La Nacion,Argentina,Moulin Rouge!,2001,Baz Luhrmann,1962-09-17,,
Javier Porta Fouz,La Nacion,Argentina,Nine Queens,2000,Fabián Bielinsky,1959-02-03,"Buenos Aires, Argentina",Argentina
Javier Porta Fouz,La Nacion,Argentina,Mia Madre,2015,Nanni Moretti,1953-08-19,"Bruneck, South Tyrol, Italy",Italy
Javier Porta Fouz,La Nacion,Argentina,"Right Now, Wrong Then",2015,Hong Sang-soo,1960-10-25,"Seoul, South Korea",South Korea
Javier Porta Fouz,La Nacion,Argentina,Toy Story 3,2010,Lee Unkrich,1967-08-08,"Cleveland, Ohio, U.S.",U.S.
Javier Porta Fouz,La Nacion,Argentina,Mad Max: Fury Road,2015,George Miller,,,
Javier Porta Fouz,La Nacion,Argentina,Spirited Away,2001,Hayao Miyazaki,1941-01-05,"Tokyo City, Empire of Japan",Empire of Japan
Javier Porta Fouz,La Nacion,Argentina,Adventureland,2009,Greg Mottola,1964-07-11,"Dix Hills, New York, U.S.",U.S.
Javier Porta Fouz,La Nacion,Argentina,Open Range,2003,Kevin Costner,1955-01-18,"Lynwood, California, U.S.",U.S.
Kenji Fujishima,Freelance film critic,US,The World,2004,Jia Zhangke,1970-05-24,"Fenyang, Shanxi, China",China
Kenji Fujishima,Freelance film critic,US,Profit Motive and the Whispering Wind,2007,John Gianvito,,,
Kenji Fujishima,Freelance film critic,US,Inglourious Basterds,2009,Quentin Tarantino,1963-03-27,,
Kenji Fujishima,Freelance film critic,US,Pulse,2001,Kiyoshi Kurosawa,1955-07-19,"Kobe, Japan",Japan
Kenji Fujishima,Freelance film critic,US,Syndromes and a Century,2006,Apichatpong Weerasethakul,,,
Kenji Fujishima,Freelance film critic,US,In Jackson Heights,2015,Frederick Wiseman,1930-01-01,"Boston, Massachusetts, U.S.",U.S.
Kenji Fujishima,Freelance film critic,US,"Synecdoche, New York",2008,Charlie Kaufman,1958-11-19,"New York City, U.S.",U.S.
Kenji Fujishima,Freelance film critic,US,Love Exposure,2008,Sion Sono,1961-12-18,"Toyokawa, Aichi, Japan",Japan
Kenji Fujishima,Freelance film critic,US,The Tree of Life,2011,Terrence Malick,1943-11-30,"Ottawa, Illinois, U.S.",U.S.
Kenji Fujishima,Freelance film critic,US,Casino Royale,2006,Martin Campbell,1943-10-24,"Hastings, New Zealand",New Zealand
Ernesto Garratt,El Mercurio,Chile,Oldboy,2003,Park Chan-wook,1963-08-23,"Seoul, South Korea",South Korea
Ernesto Garratt,El Mercurio,Chile,Children of Men,2006,Alfonso Cuarón,1961-11-28,"Mexico City, Mexico",Mexico
Ernesto Garratt,El Mercurio,Chile,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S.",U.S.
Ernesto Garratt,El Mercurio,Chile,The Secret in Their Eyes,2009,Juan José Campanella,1959-07-19,"Buenos Aires, Argentina",Argentina
Ernesto Garratt,El Mercurio,Chile,Sicario,2015,Denis Villeneuve,1967-10-03,"Gentilly, Quebec, Canada",Canada
Ernesto Garratt,El Mercurio,Chile,No,2012,Pablo Larraín,1976-08-19,"Santiago, Chile",Chile
Ernesto Garratt,El Mercurio,Chile,Donnie Darko,2001,Richard Kelly,,,
Ernesto Garratt,El Mercurio,Chile,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,1963-05-08,"Versailles, France",France
Ernesto Garratt,El Mercurio,Chile,The Social Network,2010,David Fincher,1962-08-28,"Denver, Colorado, U.S.",U.S.
Ernesto Garratt,El Mercurio,Chile,Whiplash,2014,Damien Chazelle,1985-01-19,"Providence, Rhode Island, U.S.",U.S.
Steven Gaydos,Variety,US,Ex Machina,2015,Alex Garland,1970-05-26,"London, England",England
Steven Gaydos,Variety,US,Inside Out,2015,Pete Docter,1968-10-09,"Bloomington, Minnesota, U.S.",U.S.
Steven Gaydos,Variety,US,Animal Kingdom,2010,David Michôd,1972-11-30,"Sydney, New South Wales, Australia",Australia
Steven Gaydos,Variety,US,Apocalypto,2006,Mel Gibson,1956-01-03,"Peekskill, New York, U.S.",U.S.
Steven Gaydos,Variety,US,Three Monkeys,2008,Nuri Bilge Ceylan,1959-01-26,"Istanbul, Turkey",Turkey
Steven Gaydos,Variety,US,WALL-E,2008,Andrew Stanton,1965-12-03,"Rockport, Massachusetts, U.S.",U.S.
Steven Gaydos,Variety,US,Listen to Me Marlon,2015,Stevan Riley,,,
Steven Gaydos,Variety,US,"4 Months, 3 Weeks & 2 Days",2007,Cristian Mungiu,1968-04-27,"Iași, Romania",Romania
Steven Gaydos,Variety,US,Talladega Nights: The Ballad of Ricky Bobby,2006,Adam McKay,1968-04-17,"Denver, Colorado, U.S.",U.S.
Steven Gaydos,Variety,US,Centochiodi,2007,Ermanno Olmi,1931-07-24,"Bergamo, Italy",Italy
Noah Gittell,Washington City Paper,US,United 93,2006,Paul Greengrass,1955-08-13,"Cheam, Surrey, England",England
Noah Gittell,Washington City Paper,US,Zodiac,2007,David Fincher,1962-08-28,"Denver, Colorado, U.S.",U.S.
Noah Gittell,Washington City Paper,US,Bridesmaids,2011,Paul Feig,1962-09-17,"Royal Oak, Michigan, U.S.",U.S.
Noah Gittell,Washington City Paper,US,WALL-E,2008,Andrew Stanton,1965-12-03,"Rockport, Massachusetts, U.S.",U.S.
Noah Gittell,Washington City Paper,US,Brooklyn,2015,John Crowley,,,
Noah Gittell,Washington City Paper,US,The Look of Silence,2014,Joshua Oppenheimer,1974-09-23,"Austin, Texas, U.S.",U.S.
Noah Gittell,Washington City Paper,US,Punch-Drunk Love,2002,Paul Thomas Anderson,1970-06-26,"Los Angeles, California, U.S.",U.S.
Noah Gittell,Washington City Paper,US,12 Years a Slave,2013,Steve McQueen,1930-03-24,"Beech Grove, Indiana, U.S.",U.S.
Noah Gittell,Washington City Paper,US,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,1963-05-08,"Versailles, France",France
Noah Gittell,Washington City Paper,US,We Need to Talk About Kevin,2011,Lynne Ramsay,1969-12-05,"Glasgow, Scotland",Scotland
Owen Gleiberman,Variety,US,Far From Heaven,2002,Todd Haynes,1961-01-02,"Los Angeles, California, U.S.",U.S.
Owen Gleiberman,Variety,US,Chuck & Buck,2000,Miguel Arteta,1965-08-29,"San Juan, Puerto Rico",Puerto Rico
Owen Gleiberman,Variety,US,Gladiator,2000,Ridley Scott,1937-11-30,"South Shields, England",England
Owen Gleiberman,Variety,US,The Century of the Self,2002,Adam Curtis,1955-05-26,"Dartford, Kent, England",England
Owen Gleiberman,Variety,US,Moulin Rouge!,2001,Baz Luhrmann,1962-09-17,,
Owen Gleiberman,Variety,US,Munich,2005,Steven Spielberg,1946-12-18,"Cincinnati, Ohio, U.S.",U.S.
Owen Gleiberman,Variety,US,Casino Royale,2006,Martin Campbell,1943-10-24,"Hastings, New Zealand",New Zealand
Owen Gleiberman,Variety,US,Lilya 4-Ever,2002,Lukas Moodysson,1969-01-17,"Lund, Scania, Sweden",Sweden
Owen Gleiberman,Variety,US,Sideways,2004,Alexander Payne,1961-02-10,"Omaha, Nebraska, U.S.",U.S.
Owen Gleiberman,Variety,US,Inglourious Basterds,2009,Quentin Tarantino,1963-03-27,,
Ed Gonzalez,Slant Magazine,US,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S.",U.S.
Ed Gonzalez,Slant Magazine,US,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China",China
Ed Gonzalez,Slant Magazine,US,The New World,2005,Terrence Malick,1943-11-30,"Ottawa, Illinois, U.S.",U.S.
Ed Gonzalez,Slant Magazine,US,Certified Copy,2010,Abbas Kiarostami,1940-06-22,"Tehran, Imperial State of Iran",Imperial State of Iran
Ed Gonzalez,Slant Magazine,US,Femme Fatale,2002,Brian De Palma,1940-09-11,"Newark, New Jersey, U.S.",U.S.
Ed Gonzalez,Slant Magazine,US,Margaret,2011,Kenneth Lonergan,1962-10-16,"The Bronx, New York, U.S.",U.S.
Ed Gonzalez,Slant Magazine,US,Under the Skin,2013,Jonathan Glazer,1965-03-26,"London, England",England
Ed Gonzalez,Slant Magazine,US,This Is Not a Film,2011,Mojtaba Mirtahmasb and Jafar Panahi,,,
Ed Gonzalez,Slant Magazine,US,Two Lovers,2008,James Gray,,,
Ed Gonzalez,Slant Magazine,US,Heart of a Dog,2015,Laurie Anderson,,,
Juan Carlos González,El Tiempo,Colombia,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China",China
Juan Carlos González,El Tiempo,Colombia,"4 Months, 3 Weeks & 2 Days",2007,Cristian Mungiu,1968-04-27,"Iași, Romania",Romania
Juan Carlos González,El Tiempo,Colombia,A Separation,2011,Asghar Farhadi,1972-05-07,"Homayoon Shahr, Isfahan, Pahlavi Iran",Pahlavi Iran
Juan Carlos González,El Tiempo,Colombia,Son of Saul,2015,László Nemes,1977-02-18,"Budapest, Hungary",Hungary
Juan Carlos González,El Tiempo,Colombia,Elephant,2003,Gus Van Sant,1952-07-24,,
Juan Carlos González,El Tiempo,Colombia,A Prophet,2009,Jacques Audiard,1952-04-30,"Paris, France",France
Juan Carlos González,El Tiempo,Colombia,There Will Be Blood,2007,Paul Thomas Anderson,1970-06-26,"Los Angeles, California, U.S.",U.S.
Juan Carlos González,El Tiempo,Colombia,The Lives of Others,2006,Florian Henckel von Donnersmarck,1973-05-02,"Cologne, West Germany",West Germany
Juan Carlos González,El Tiempo,Colombia,Frances Ha,2012,Noah Baumbach,1969-09-03,"New York City, U.S.",U.S.
Juan Carlos González,El Tiempo,Colombia,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,1963-05-08,"Versailles, France",France
Carmen Gray,Berlin Critics’ Week,Germany,Werckmeister Harmonies,2000,Béla Tarr and Ágnes Hranitzky,,,
Carmen Gray,Berlin Critics’ Week,Germany,The Act of Killing,2012,Joshua Oppenheimer,1974-09-23,"Austin, Texas, U.S.",U.S.
Carmen Gray,Berlin Critics’ Week,Germany,White Material,2009,Claire Denis,1946-04-21,"Paris, France",France
Carmen Gray,Berlin Critics’ Week,Germany,Even If She Had Been a Criminal...,2006,Jean-Gabriel Périot,,,
Carmen Gray,Berlin Critics’ Week,Germany,Spring Breakers,2012,Harmony Korine,1973-01-04,"Bolinas, California, U.S.",U.S.
Carmen Gray,Berlin Critics’ Week,Germany,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China",China
Carmen Gray,Berlin Critics’ Week,Germany,Stranger by the Lake,2013,Alain Guiraudie,1964-07-15,,
Carmen Gray,Berlin Critics’ Week,Germany,Colossal Youth,2006,Pedro Costa,1958-12-30,"Lisbon, Portugal",Portugal
Carmen Gray,Berlin Critics’ Week,Germany,Story of My Death,2013,Albert Serra,1975-10-09,"Banyoles, Catalonia, Spain",Spain
Carmen Gray,Berlin Critics’ Week,Germany,Aurora,2010,Cristi Puiu,1967-04-03,"Bucharest, Romania",Romania
Tim Grierson,Screen International,US,Dogville,2003,Lars von Trier,1956-04-30,"Kongens Lyngby, Denmark",Denmark
Tim Grierson,Screen International,US,Zodiac,2007,David Fincher,1962-08-28,"Denver, Colorado, U.S.",U.S.
Tim Grierson,Screen International,US,There Will Be Blood,2007,Paul Thomas Anderson,1970-06-26,"Los Angeles, California, U.S.",U.S.
Tim Grierson,Screen International,US,Inside Llewyn Davis,2013,Joel and Ethan Coen,1954-11-29,,
Tim Grierson,Screen International,US,Yi Yi: A One and a Two,2000,Edward Yang,1947-11-06,"Shanghai, Republic of China",Republic of China
Tim Grierson,Screen International,US,The Turin Horse,2011,Béla Tarr and Ágnes Hranitzky,,,
Tim Grierson,Screen International,US,The Master,2012,Paul Thomas Anderson,1970-06-26,"Los Angeles, California, U.S.",U.S.
Tim Grierson,Screen International,US,It's Such a Beautiful Day,2012,Don Hertzfeldt,1976-08-01,"Fremont, California, U.S.",U.S.
Tim Grierson,Screen International,US,Boyhood,2014,Richard Linklater,1960-07-30,"Houston, Texas, U.S.",U.S.
Tim Grierson,Screen International,US,Shutter Island,2010,Martin Scorsese,1942-11-17,"New York City, U.S.",U.S.
Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,Saraband,2003,Ingmar Bergman,1918-07-14,"Uppsala, Sweden",Sweden
Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,Memento,2000,Christopher Nolan,1970-07-30,"London, England",England
Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,Blue Is the Warmest Color,2013,Abdellatif Kechiche,1960-12-07,"Tunis, Tunisia",Tunisia
Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,The Return,2003,Andrey Zvyagintsev,1964-02-06,"Novosibirsk, RSFSR, Soviet Union",Soviet Union
Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,Amour,2012,Michael Haneke,1942-03-23,"Munich, Germany",Germany
Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S.",U.S.
Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,Import Export,2007,Ulrich Seidl,1952-11-24,,
Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,Son of Saul,2015,László Nemes,1977-02-18,"Budapest, Hungary",Hungary
Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,Kill Bill: Vol. 1,2003,Quentin Tarantino,1963-03-27,,
Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,The Revenant,2015,Alejandro González Iñárritu,1963-08-15,"Mexico City, Mexico",Mexico
Antoine Guillot,France Culture,France,Tropical Malady,2004,Apichatpong Weerasethakul,,,
Antoine Guillot,France Culture,France,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S.",U.S.
Antoine Guillot,France Culture,France,The Turin Horse,2011,Béla Tarr and Ágnes Hranitzky,,,
Antoine Guillot,France Culture,France,Tie Xi Qu: West of the Tracks,2002,Wang Bing,,,
Antoine Guillot,France Culture,France,Le filmeur,2005,Alain Cavalier,1931-09-14,,
Antoine Guillot,France Culture,France,Holy Motors,2012,Leos Carax,1960-11-22,,
Antoine Guillot,France Culture,France,Elephant,2003,Gus Van Sant,1952-07-24,,
Antoine Guillot,France Culture,France,A Touch of Sin,2013,Jia Zhangke,1970-05-24,"Fenyang, Shanxi, China",China
Antoine Guillot,France Culture,France,Pan's Labyrinth,2006,Guillermo Del Toro,1964-10-09,"Guadalajara, Jalisco, Mexico",Mexico
Antoine Guillot,France Culture,France,Spirited Away,2001,Hayao Miyazaki,1941-01-05,"Tokyo City, Empire of Japan",Empire of Japan
Tom Gunning,University of Chicago,US,The New World,2005,Terrence Malick,1943-11-30,"Ottawa, Illinois, U.S.",U.S.
Tom Gunning,University of Chicago,US,Capitalism: Child Labor,2007,Ken Jacobs,1933-05-25,,
Tom Gunning,University of Chicago,US,Psalm III: 'Night of the Meek',2002,Phil Solomon,,,
Tom Gunning,University of Chicago,US,Goodbye to Language,2014,Jean-Luc Godard,1930-12-03,"Paris, France",France
Tom Gunning,University of Chicago,US,Daylight Moon,2002,Lewis Klahr,,,
Tom Gunning,University of Chicago,US,Oldboy,2003,Park Chan-wook,1963-08-23,"Seoul, South Korea",South Korea
Tom Gunning,University of Chicago,US,A Commuter’s Life,2014,What a Life!) (Ernie Gehr,,,
Tom Gunning,University of Chicago,US,The Fourth Watch,2000,Janie Geiser,,,
Tom Gunning,University of Chicago,US,Our Daily Bread,2005,Nikolaus Geyrhalter,,,
Tom Gunning,University of Chicago,US,The World,2004,Jia Zhangke,1970-05-24,"Fenyang, Shanxi, China",China
Shubhra Gupta,The Indian Express,India,Ankhon Dekhi,2013,Rajat Kapoor,,,
Shubhra Gupta,The Indian Express,India,Court,2014,Chaitanya Tamhane,1987-03-01,"Mumbai, Maharashtra, India",India
Shubhra Gupta,The Indian Express,India,"LSD: Love, Sex Aur Dhokha",2010,Dibakar Banerjee,1969-06-21,"New Delhi, India",India
Shubhra Gupta,The Indian Express,India,Monsoon Wedding,2001,Mira Nair,1957-10-15,"Rourkela, Orissa, India",India
Shubhra Gupta,The Indian Express,India,Dev D,2009,Anurag Kashyap,1972-09-10,,
Shubhra Gupta,The Indian Express,India,Paan Singh Tomar,2012,Tigmanshu Dhulia,1967-07-03,", Uttar Pradesh, India",India
Shubhra Gupta,The Indian Express,India,Udaan,2010,Vikramaditya Motwane,1976-12-06,"Bombay, Maharashtra, India",India
Shubhra Gupta,The Indian Express,India,Hazaaron Khwaishein Aisi,2003,Sudhir Mishra,1959-01-22,"Lucknow, Uttar Pradesh, India",India
Shubhra Gupta,The Indian Express,India,Maqbool,2003,Vishal Bhardwaj,1965-08-04,"Chandpur, Uttar Pradesh, India",India
Shubhra Gupta,The Indian Express,India,Lagaan: Once Upon a Time in India,2001,Ashutosh Gowariker,1964-02-15,"Kolhapur, Maharashtra, India",India
Hauvick Habechian,An-Nahar Newspaper,Lebanon,There Will Be Blood,2007,Paul Thomas Anderson,1970-06-26,"Los Angeles, California, U.S.",U.S.
Hauvick Habechian,An-Nahar Newspaper,Lebanon,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S.",U.S.
Hauvick Habechian,An-Nahar Newspaper,Lebanon,AI: Artificial Intelligence,2001,Steven Spielberg,1946-12-18,"Cincinnati, Ohio, U.S.",U.S.
Hauvick Habechian,An-Nahar Newspaper,Lebanon,Blue Is the Warmest Color,2013,Abdellatif Kechiche,1960-12-07,"Tunis, Tunisia",Tunisia
Hauvick Habechian,An-Nahar Newspaper,Lebanon,Spirited Away,2001,Hayao Miyazaki,1941-01-05,"Tokyo City, Empire of Japan",Empire of Japan
Hauvick Habechian,An-Nahar Newspaper,Lebanon,Once Upon a Time in Anatolia,2011,Nuri Bilge Ceylan,1959-01-26,"Istanbul, Turkey",Turkey
Hauvick Habechian,An-Nahar Newspaper,Lebanon,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China",China
Hauvick Habechian,An-Nahar Newspaper,Lebanon,The Lady and the Duke,2001,Éric Rohmer,1920-03-21,"Tulle, France",France
Hauvick Habechian,An-Nahar Newspaper,Lebanon,Yi Yi: A One and a Two,2000,Edward Yang,1947-11-06,"Shanghai, Republic of China",Republic of China
Hauvick Habechian,An-Nahar Newspaper,Lebanon,Silent Souls,2010,Aleksey Fedorchenko,1966-09-29,"Yekaterinburg, Russian SFSR",Russian SFSR
Angie Han,Slashfilm,US,"Synecdoche, New York",2008,Charlie Kaufman,1958-11-19,"New York City, U.S.",U.S.
Angie Han,Slashfilm,US,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,1963-05-08,"Versailles, France",France
Angie Han,Slashfilm,US,Boyhood,2014,Richard Linklater,1960-07-30,"Houston, Texas, U.S.",U.S.
Angie Han,Slashfilm,US,Mad Max: Fury Road,2015,George Miller,,,
Angie Han,Slashfilm,US,Me and You and Everyone We Know,2005,Miranda July,1974-02-15,"Barre, Vermont, United States",United States
Angie Han,Slashfilm,US,Gone Girl,2014,David Fincher,1962-08-28,"Denver, Colorado, U.S.",U.S.
